Time of Exp,Compound Name,Samp Size,Set Pt,Test Temp,Hot/Cold?,Sound?,Relative Humidity,Notes
1345,hexacosane,100,325,308,No,,,
+ TA-DA start time is: 2019/2/15 13:30:50
System start time is: 2019/02/15 13:30:51
time,t1,t2,t3,t4,pressure
1054238.00,312.75,314.50,312.50,314.50,760.51
1054577.00,312.75,314.25,312.75,314.25,760.21
1054916.00,313.50,314.25,312.75,314.50,760.21
1055255.00,312.75,314.50,312.50,314.25,760.21
1055593.00,313.00,314.50,312.50,314.50,760.21
1055934.00,313.25,314.50,312.50,314.25,760.21
1056271.00,nan,314.50,312.50,314.25,760.21
1056610.00,313.50,314.50,312.50,314.25,759.91
1056949.00,313.00,314.50,312.50,314.50,759.91
1057288.00,312.75,314.50,312.50,314.25,759.91
1057629.00,313.25,314.50,312.75,314.25,759.91
1057968.00,312.50,314.25,312.50,314.25,760.21
1058307.00,313.00,314.50,312.50,314.25,759.91
1058645.00,313.25,314.50,312.75,314.25,759.91
1058984.00,312.50,314.25,312.50,314.25,759.91
1059323.00,313.25,314.50,312.75,314.25,759.91
1059661.00,313.25,314.50,312.50,314.25,759.91
1060000.00,312.75,314.50,312.50,314.25,760.21
1060339.00,313.25,314.50,312.50,314.25,760.21
1060677.00,313.00,314.25,312.75,314.25,760.21
1061016.00,312.50,314.50,312.50,314.25,759.91
1061365.00,312.50,314.25,312.50,314.25,759.91
1061704.00,313.25,314.50,312.50,314.00,759.91
1062042.00,313.00,314.25,312.75,314.25,759.91
1062381.00,312.75,314.50,312.50,314.00,759.91
1062720.00,313.50,314.50,312.75,314.25,759.91
1063058.00,nan,314.50,312.75,314.25,759.91
1063396.00,312.50,314.50,312.75,314.00,759.91
1063735.00,313.25,314.50,312.75,314.25,759.91
1064074.00,nan,314.25,312.50,314.25,759.62
1064414.00,313.00,314.50,312.50,314.25,759.62
1064752.00,313.25,314.50,312.75,314.25,759.91
1065094.00,312.75,314.25,312.50,314.25,759.92
1065432.00,313.25,314.50,312.75,314.25,759.92
1065771.00,312.75,314.50,312.50,314.25,759.92
1066110.00,312.75,314.50,312.50,314.00,759.92
1066449.00,313.25,314.50,312.75,314.25,759.92
1066788.00,312.50,314.50,312.50,314.25,759.92
1067127.00,313.00,314.50,312.75,314.00,759.92
1067465.00,313.25,314.50,312.50,314.00,759.92
1067804.00,312.50,314.50,312.75,314.00,759.92
1068143.00,313.25,314.50,312.50,314.00,759.62
1068482.00,313.00,314.50,312.75,314.25,759.92
1068823.00,312.75,314.50,312.50,314.00,759.92
1069162.00,313.25,314.50,312.50,314.25,759.92
1069501.00,312.75,314.50,312.50,314.25,759.62
1069839.00,nan,314.50,312.75,314.00,759.90
1070178.00,313.50,314.50,312.75,314.00,759.60
1070516.00,312.50,314.50,312.75,314.00,759.90
1070855.00,313.25,314.50,312.50,314.00,759.90
1071194.00,313.25,314.50,312.75,314.00,759.60
1071533.00,312.50,314.50,312.75,314.00,759.60
1071872.00,313.25,314.50,312.75,314.00,759.90
1072210.00,313.00,314.50,312.50,314.00,759.60
1072552.00,313.00,314.50,312.75,314.00,759.60
1072891.00,313.25,314.50,312.75,314.00,759.60
1073231.00,312.50,314.50,312.75,314.00,759.60
1073570.00,313.50,314.50,312.75,314.00,759.60
1073908.00,313.00,314.50,312.75,314.00,759.60
1074247.00,312.50,314.50,312.75,314.00,759.60
1074586.00,313.50,314.50,312.75,314.00,759.60
1074925.00,312.50,314.50,312.75,314.00,759.60
1075264.00,312.75,314.50,312.50,314.00,759.60
1075602.00,313.25,314.50,312.75,314.00,759.60
1075944.00,312.50,314.50,312.50,314.00,759.61
1076282.00,313.50,314.50,312.75,314.00,759.61
1076621.00,312.75,314.50,312.75,314.00,759.61
1076959.00,312.75,314.50,312.75,314.00,759.62
1077298.00,313.25,314.50,312.75,314.25,759.62
1077637.00,312.50,314.50,312.50,314.00,759.62
1077976.00,312.75,314.50,312.50,314.00,759.63
1078315.00,313.50,314.50,312.75,314.00,759.63
1078653.00,312.50,314.50,312.50,314.00,759.63
1078992.00,313.00,314.50,312.75,314.00,759.64
1079331.00,313.25,314.50,312.50,314.00,759.64
1079672.00,312.75,314.50,312.75,313.75,759.64
1080011.00,313.50,314.50,312.75,314.00,759.64
1080350.00,312.50,314.50,312.75,314.00,759.64
1080689.00,313.00,314.50,312.75,314.00,759.64
1081028.00,313.25,314.50,312.75,314.00,759.65
1081366.00,312.50,314.50,312.75,314.00,759.65
1081705.00,313.00,314.50,312.75,314.00,759.65
1082044.00,313.00,314.50,312.50,314.00,759.65
1082383.00,312.50,314.50,312.75,314.00,759.65
1082722.00,313.50,314.50,312.75,314.00,759.65
1083061.00,312.75,314.50,312.75,314.00,759.65
1083403.00,313.25,314.50,312.75,314.00,759.65
1083741.00,313.00,314.50,312.75,313.75,759.65
1084080.00,312.50,314.50,312.50,314.00,759.64
1084419.00,313.50,314.50,312.75,314.00,759.64
1084758.00,312.75,314.50,312.75,313.75,759.64
1085097.00,312.75,314.50,312.75,314.00,759.61
1085436.00,313.50,314.50,312.75,313.75,759.91
1085774.00,312.50,314.50,312.75,314.00,759.61
1086113.00,313.00,314.50,312.75,313.75,759.61
1086452.00,313.25,314.50,312.75,314.00,759.61
1086791.00,312.50,314.50,312.75,314.00,759.58
1087132.00,313.25,314.50,313.00,314.00,759.58
